trialNumber,trialType,speakerBlock,sentenceW,sentenceD,startStructure,targetStructure,targetImage,whichList,trialNumberWithList
9,fully_spec,,Place a red block in each corner of the grid. Then put a green block on top of each red block.,Place a red block in each corner of the grid. Then put a green block on top of each red block.,,"Red,-400,50,-400;Red,400,50,-400;Red,400,50,400;Red,-400,50,400;Green,-400,150,-400;Green,400,150,-400;Green,400,150,400;Green,-400,150,400",9_1.png,1,9_1
10,fully_spec,,"Add a blue block on top of the existing structure. Immediately to its right, build a stack of three yellow blocks.","Add a blue block on top of the existing structure. Immediately to its right, build a stack of 3 yellow blocks.","Blue,0,50,0;Blue,0,150,0;Blue,0,250,0","Blue,0,50,0;Blue,0,150,0;Blue,0,250,0;Blue,0,350,0;Yellow,100,50,0;Yellow,100,150,0;Yellow,100,250,0",10_1.png,1,10_1
11,fully_spec,,"Place nine purple blocks along the grid's left edge. Immediately to the right, build a row of nine yellow blocks.","Place 9 purple blocks along the grid's left edge. Immediately to the right, build a row of 9 yellow blocks.",,"Purple,-400,50,400;Purple,-400,50,300;Purple,-400,50,200;Purple,-400,50,0;Purple,-400,50,100;Purple,-400,50,-100;Purple,-400,50,-200;Purple,-400,50,-300;Purple,-400,50,-400;Yellow,-300,50,-400;Yellow,-300,50,-300;Yellow,-300,50,-200;Yellow,-300,50,-100;Yellow,-300,50,0;Yellow,-300,50,100;Yellow,-300,50,200;Yellow,-300,50,300;Yellow,-300,50,400",11_1.png,1,11_1
12,fully_spec,,Stack three red blocks in the bottom right corner. Put two yellow blocks on top of the red stack you just built.,Stack 3 red blocks in the bottom right corner. Put 2 yellow blocks on top of the red stack you just built.,,"Red,400,50,400;Red,400,150,400;Red,400,250,400;Yellow,400,350,400;Yellow,400,450,400",12_1.png,1,12_1
13,fully_spec,,Place a yellow block on the left side of the green stack. Place two red blocks on top of the yellow block. Place a yellow block in front of the green stack.,Place a yellow block on the left side of the green stack. Place 2 red blocks on top of the yellow block. Place a yellow block in front of the green stack.,"Green,0,50,0;Green,0,150,0","Green,0,50,0;Green,0,150,0;Yellow,-100,50,0;Red,-100,150,0;Red,-100,250,0;Yellow,0,50,100",13_1.png,1,13_1
14,fully_spec,,"Build a row of three purple blocks, starting at the origin and going to the left. Stack four blue blocks in front of the leftmost purple block. ","Build a row of 3 purple blocks, starting at the origin and going to the left. Stack 4 blue blocks in front of the leftmost purple block. ",,"Purple,0,50,0;Purple,-100,50,0;Purple,-200,50,0;Blue,-200,50,100;Blue,-200,150,100;Blue,-200,250,100;Blue,-200,350,100",14_1.png,1,14_1
15,fully_spec,,Put a blue block on top of the yellow block. Then stack two blue blocks directly in front of the existing structure. Stack three yellow blocks on the first blue block you placed.,Put a blue block on top of the yellow block. Then stack 2 blue blocks directly in front of the existing structure. Stack 3 yellow blocks on the first blue block you placed.,"Yellow,0,50,0","Yellow,0,50,0;Blue,0,50,100;Blue,0,150,100;Blue,0,150,0;Yellow,0,250,0;Yellow,0,350,0;Yellow,0,450,0",15_1.png,1,15_1
16,fully_spec,,Stack four green blocks in the middle of the grid. Then stack three purple blocks immediately to the right of the green tower you just built.,Stack 4 green blocks in the middle of the grid. Then stack 3 purple blocks immediately to the right of the green tower you just built.,,"Green,0,50,0;Green,0,150,0;Green,0,250,0;Green,0,350,0;Purple,100,50,0;Purple,100,150,0;Purple,100,250,0",16_1.png,1,16_1
1a,color_under,,"Stack five purple blocks in the middle of the grid, then stack four blocks in front of them.","Stack 5 purple blocks in the middle of the grid, then stack 4 blocks in front of them.",,"Purple,0,50,0;Purple,0,150,0;Purple,0,250,0;Purple,0,350,0;Purple,0,450,0;Yellow,0,50,100;Yellow,0,150,100;Yellow,0,250,100;Yellow,0,350,100",1a_1.png,1,1a_1
1b,color_under,,"Stack five purple blocks in the middle of the grid, then stack four blocks in front of them.","Stack 5 purple blocks in the middle of the grid, then stack 4 blocks in front of them.",,"Purple,0,50,0;Purple,0,150,0;Purple,0,250,0;Purple,0,350,0;Purple,0,450,0;Purple,0,50,100;Purple,0,150,100;Purple,0,250,100;Purple,0,350,100",1b_1.png,1,1b_1
2a,color_under,,Stack three red blocks to the left of the yellow block. Build a tower of four blocks in front of these.,Stack 3 red blocks to the left of the yellow block. Build a tower of 4 blocks in front of these.,"Yellow,0,50,0","Yellow,0,50,0;Red,-100,50,0;Red,-100,150,0;Red,-100,250,0;Blue,-100,50,100;Blue,-100,150,100;Blue,-100,250,100;Blue,-100,350,100",2a_1.png,1,2a_1
2b,color_under,,Stack three red blocks to the left of the yellow block. Build a tower of four blocks in front of these.,Stack 3 red blocks to the left of the yellow block. Build a tower of 4 blocks in front of these.,"Yellow,0,50,0","Yellow,0,50,0;Red,-100,50,0;Red,-100,150,0;Red,-100,250,0;Red,-100,50,100;Red,-100,150,100;Red,-100,250,100;Red,-100,350,100",2b_1.png,1,2b_1
3a,color_under,,Place a blue block on the highlighted square. Place a blue block both to the left and to the right of that block. Then place a block on top of the middle block.,Place a blue block on the highlighted square. Place a blue block both to the left and to the right of that block. Then place a block on top of the middle block.,,"Blue,100,50,0;Blue,0,50,0;Blue,-100,50,0;Red,0,150,0",3a_1.png,1,3a_1
3b,color_under,,Place a blue block on the highlighted square. Place a blue block both to the left and to the right of that block. Then place a block on top of the middle block.,Place a blue block on the highlighted square. Place a blue block both to the left and to the right of that block. Then place a block on top of the middle block.,,"Blue,0,50,0;Blue,-100,50,0;Blue,100,50,0;Blue,0,150,0",3b_1.png,1,3b_1
4a,color_under,,"There is an existing purple structure in the shape of an L. While maintaining the L shape, extend the longer side of the L with two purple blocks. Add a block to the shorter side of the L.","There is an existing purple structure in the shape of an L. While maintaining the L shape, extend the longer side of the L with 2 purple blocks. Add a block to the shorter side of the L.","Purple,0,50,-100;Purple,0,50,0;Purple,0,50,100;Purple,100,50,100","Purple,0,50,-100;Purple,0,50,0;Purple,0,50,100;Purple,100,50,100;Purple,0,50,-200;Purple,0,50,-300;Blue,200,50,100",4a_1.png,1,4a_1
4b,color_under,,"There is an existing purple structure in the shape of an L. While maintaining the L shape, extend the longer side of the L with two purple blocks. Add a block to the shorter side of the L.","There is an existing purple structure in the shape of an L. While maintaining the L shape, extend the longer side of the L with 2 purple blocks. Add a block to the shorter side of the L.","Purple,0,50,-100;Purple,0,50,0;Purple,0,50,100;Purple,100,50,100","Purple,0,50,-100;Purple,0,50,0;Purple,0,50,100;Purple,100,50,100;Purple,0,50,-200;Purple,0,50,-300;Purple,200,50,100",4b_1.png,1,4b_1
5a,number_under,,Stack two yellow blocks on the middle square. Stack two green blocks directly in front of the yellow ones. Then stack red blocks directly in front of the green ones.,Stack 2 yellow blocks on the middle square. Stack 2 green blocks directly in front of the yellow ones. Then stack red blocks directly in front of the green ones.,,"Yellow,0,50,0;Yellow,0,150,0;Green,0,50,100;Green,0,150,100;Red,0,50,200;Red,0,150,200;Red,0,250,200",5a_1.png,1,5a_1
